WD23NM,PD_ID,PD_Name,Total,Contacts_2024,Canvassed_2024,Contacts_GE,Canvassed_GE,Lib Dem,Potential LD,Tory,Potential Tory,Labour,Potential Labour,Green,Potential Green,Others,Unknown,Supporters,Switch Europe,Switch,Squeeze,Stay at home,Switch+,Squeeze+,Stay at Home+,Unknown
Carterton North West,FM,3 CNW FM1 (Rock Fm),"1,683",90,42,42,42,191,28,71,30,7,3,0,1,11,1341,187,73,35,27,84,964,284,0,29
Carterton North West,FM2,3 CNW FM2 (Shillbrook),"2,175",1367,365,365,164,443,81,128,52,8,13,1,2,17,1430,440,198,97,48,145,1092,103,29,23
Carterton South,FN,3 CS FN1 (Gateway),"1,476",85,16,16,16,170,30,130,28,8,17,1,1,0,1091,169,174,38,41,135,834,48,19,18
Carterton South,FN2,3 CS FN2 (BN Base),58,1,0,0,0,2,0,0,0,0,0,0,0,0,56,2,38,0,0,0,16,0,0,2
Carterton South,FN3,3 CS FN3 (Milestone),"1,811",280,58,58,58,266,31,178,61,16,14,2,4,2,1237,263,63,63,53,180,1095,18,62,14
Ducklington,GA,4 Duck GA (Curbridge),805,22,7,7,4,108,12,36,36,15,12,2,0,0,584,108,30,38,37,36,547,3,0,6
Ducklington,GC,4 Duck GC (Ducklington),"1,268",41,23,23,23,144,12,97,32,54,13,3,1,1,911,144,88,28,81,100,763,17,42,5
Ducklington,HA,4 Duck HA (Lew),49,5,4,4,0,4,0,0,0,0,0,0,0,0,45,4,16,0,0,0,28,0,0,1
"Standlake, Aston and Stanton Harcourt",FD,4 SASH FD (Aston),"1,156",826,330,32,28,307,49,125,43,4,8,0,1,2,617,306,72,60,35,127,515,11,19,11
"Standlake, Aston and Stanton Harcourt",GQ,4 SASH GQ (Hardwick),75,12,9,4,4,13,1,8,1,0,0,0,0,0,52,13,1,1,0,9,51,0,0,0
"Standlake, Aston and Stanton Harcourt",HH,4 SASH HH (Northmoor),347,181,75,16,12,95,19,40,5,1,3,0,0,1,183,95,28,11,12,38,161,0,0,2
"Standlake, Aston and Stanton Harcourt",HT,4 SASH HT (Standlake),"1,172",866,381,82,81,332,79,196,42,1,5,0,1,4,512,328,103,68,41,202,424,0,2,4
"Standlake, Aston and Stanton Harcourt",HU,4 SASH HU (Stanton H),968,664,335,38,28,246,73,106,39,9,15,0,1,7,472,239,61,55,59,113,421,0,14,6
Bampton and Clanfield,FE,5 B&C FE (Bampton),"2,514",746,284,267,267,488,87,208,25,15,8,2,7,7,1667,485,296,61,70,205,1337,14,32,14
Bampton and Clanfield,FF,5 B&C FF (Black Bourton),217,12,8,8,8,18,3,12,8,2,3,0,0,0,171,18,24,7,7,6,142,0,7,6
Bampton and Clanfield,FV,5 B&C FV (Clanfield),719,24,13,13,13,95,14,54,8,5,4,2,0,1,536,95,53,13,17,54,404,64,16,3
