Edu,Age,NS-SeC,Sex,Observation
Level_2,25_34,Students,Female,10134
Level_2,25_34,Students,Male,6837
Level_2,35_49,L1_L3,Female,46063
Level_2,35_49,L1_L3,Male,74292
Level_2,35_49,L4_L6,Female,124167
Level_2,35_49,L4_L6,Male,123099
Level_2,35_49,L7,Female,168491
Level_2,35_49,L7,Male,53899
Level_2,35_49,L8_L9,Female,58715
Level_2,35_49,L8_L9,Male,124483
Level_2,35_49,L10_L11,Female,27485
Level_2,35_49,L10_L11,Male,65804
Level_2,35_49,L12,Female,149168
Level_2,35_49,L12,Male,67726
Level_2,35_49,L13,Female,86032
Level_2,35_49,L13,Male,116284
Level_2,35_49,L14,Female,44991
Level_2,35_49,L14,Male,27102
Level_2,35_49,Students,Female,6922
Level_2,35_49,Students,Male,3841
Level_2,50_64,L1_L3,Female,59512
Level_2,50_64,L1_L3,Male,75265
Level_2,50_64,L4_L6,Female,174274
Level_2,50_64,L4_L6,Male,113958
Level_2,50_64,L7,Female,263114
Level_2,50_64,L7,Male,51783
Level_2,50_64,L8_L9,Female,85658
Level_2,50_64,L8_L9,Male,122045
Level_2,50_64,L10_L11,Female,33913
Level_2,50_64,L10_L11,Male,57018
Level_2,50_64,L12,Female,213653
Level_2,50_64,L12,Male,65777
Level_2,50_64,L13,Female,97161
Level_2,50_64,L13,Male,121210
Level_2,50_64,L14,Female,38342
Level_2,50_64,L14,Male,25349
Level_2,50_64,Students,Female,2283
Level_2,50_64,Students,Male,1226
Level_2,65+,L1_L3,Female,26666
Level_2,65+,L1_L3,Male,48312
Level_2,65+,L4_L6,Female,116475
Level_2,65+,L4_L6,Male,63912
Level_2,65+,L7,Female,184894
Level_2,65+,L7,Male,26430
Level_2,65+,L8_L9,Female,47065
Level_2,65+,L8_L9,Male,50126
Level_2,65+,L10_L11,Female,16502
Level_2,65+,L10_L11,Male,17853
Level_2,65+,L12,Female,104289
Level_2,65+,L12,Male,22650
Level_2,65+,L13,Female,35729
Level_2,65+,L13,Male,33227
Level_2,65+,L14,Female,39647
Level_2,65+,L14,Male,18374
Level_2,65+,Students,Female,475
Level_2,65+,Students,Male,208
Level_3,16_24,L1_L3,Female,15539
Level_3,16_24,L1_L3,Male,29933
Level_3,16_24,L4_L6,Female,61466
Level_3,16_24,L4_L6,Male,67395
Level_3,16_24,L7,Female,102542
Level_3,16_24,L7,Male,62373
Level_3,16_24,L8_L9,Female,13402
Level_3,16_24,L8_L9,Male,29734
Level_3,16_24,L10_L11,Female,15652
Level_3,16_24,L10_L11,Male,52952
Level_3,16_24,L12,Female,99235
Level_3,16_24,L12,Male,69963
Level_3,16_24,L13,Female,55166
Level_3,16_24,L13,Male,76670
Level_3,16_24,L14,Female,27200
Level_3,16_24,L14,Male,36776
Level_3,16_24,Students,Female,568196
Level_3,16_24,Students,Male,476745
Level_3,25_34,L1_L3,Female,52625
Level_3,25_34,L1_L3,Male,81389
Level_3,25_34,L4_L6,Female,163182
Level_3,25_34,L4_L6,Male,165974
Level_3,25_34,L7,Female,186662
Level_3,25_34,L7,Male,88470
Level_3,25_34,L8_L9,Female,52748
Level_3,25_34,L8_L9,Male,104708
Level_3,25_34,L10_L11,Female,34854
Level_3,25_34,L10_L11,Male,109402
Level_3,25_34,L12,Female,133656
Level_3,25_34,L12,Male,70617
Level_3,25_34,L13,Female,62072
Level_3,25_34,L13,Male,86110
Level_3,25_34,L14,Female,27078
Level_3,25_34,L14,Male,22547
Level_3,25_34,Students,Female,34730
Level_3,25_34,Students,Male,21646
Level_3,35_49,L1_L3,Female,85715
Level_3,35_49,L1_L3,Male,148811
Level_3,35_49,L4_L6,Female,218597
Level_3,35_49,L4_L6,Male,222911
Level_3,35_49,L7,Female,255453
Level_3,35_49,L7,Male,81237
Level_3,35_49,L8_L9,Female,98646
Level_3,35_49,L8_L9,Male,177222
Level_3,35_49,L10_L11,Female,40871
Level_3,35_49,L10_L11,Male,123798
Level_3,35_49,L12,Female,146316
Level_3,35_49,L12,Male,64922
Level_3,35_49,L13,Female,66225
Level_3,35_49,L13,Male,89962
Level_3,35_49,L14,Female,31537
Level_3,35_49,L14,Male,19557
Level_3,35_49,Students,Female,17710
Level_3,35_49,Students,Male,6995
Level_3,50_64,L1_L3,Female,66830
Level_3,50_64,L1_L3,Male,135399
Level_3,50_64,L4_L6,Female,191280
Level_3,50_64,L4_L6,Male,182658
Level_3,50_64,L7,Female,235138
Level_3,50_64,L7,Male,67639
Level_3,50_64,L8_L9,Female,90901
Level_3,50_64,L8_L9,Male,172725
Level_3,50_64,L10_L11,Female,36654
Level_3,50_64,L10_L11,Male,101978
